epoch,_time,action,sessionID,customer,amount
1529509836,2018/06/20 10:50:36 CDT,start,100000,Elton,3576
1529509843,2018/06/20 10:50:43 CDT,start,100001,Octavia,6369
1529509827,2018/06/20 10:50:27 CDT,start,100002,Leslie,9606
1529509839,2018/06/20 10:50:39 CDT,start,100003,Abigail,5836
1529509844,2018/06/20 10:50:44 CDT,start,100004,Chester,3447
1529509828,2018/06/20 10:50:28 CDT,start,100005,Nash,5342
1529509837,2018/06/20 10:50:37 CDT,start,100006,Oren,9574
1529509841,2018/06/20 10:50:41 CDT,start,100007,Knox,3626
1529509837,2018/06/20 10:50:37 CDT,start,100008,Ori,9760
1529509841,2018/06/20 10:50:41 CDT,start,100009,Quinn,7301
1529509827,2018/06/20 10:50:27 CDT,start,100010,Yuli,2365
1529509830,2018/06/20 10:50:30 CDT,start,100011,Hadassah,8702
1529509833,2018/06/20 10:50:33 CDT,start,100012,Abbot,9292
1529509825,2018/06/20 10:50:25 CDT,start,100013,Beatrice,5239
1529509844,2018/06/20 10:50:44 CDT,start,100014,Karina,4360
1529509840,2018/06/20 10:50:40 CDT,start,100015,Bruno,7241
1529509826,2018/06/20 10:50:26 CDT,start,100016,Jana,2517
1529509825,2018/06/20 10:50:25 CDT,start,100017,Macaulay,2182
1529509840,2018/06/20 10:50:40 CDT,start,100018,Hunter,2720
1529509825,2018/06/20 10:50:25 CDT,start,100019,Kamal,7639
1529509839,2018/06/20 10:50:39 CDT,start,100020,Aladdin,4442
1529509833,2018/06/20 10:50:33 CDT,start,100021,Herman,2134
1529509825,2018/06/20 10:50:25 CDT,start,100022,Libby,7277
1529509833,2018/06/20 10:50:33 CDT,start,100023,Ahmed,2145
1529509833,2018/06/20 10:50:33 CDT,start,100024,Malik,6006
1529509837,2018/06/20 10:50:37 CDT,start,100025,Ainsley,4006
1529509830,2018/06/20 10:50:30 CDT,start,100026,Erasmus,8594
1529509835,2018/06/20 10:50:35 CDT,start,100027,Miriam,5685
1529509834,2018/06/20 10:50:34 CDT,start,100028,Kennedy,6103
1529509826,2018/06/20 10:50:26 CDT,start,100029,Jenna,9785
1529509834,2018/06/20 10:50:34 CDT,start,100030,Jada,4879
1529509837,2018/06/20 10:50:37 CDT,start,100031,Cade,5471
1529509837,2018/06/20 10:50:37 CDT,start,100032,Melanie,8917
1529509842,2018/06/20 10:50:42 CDT,start,100033,Victor,7044
1529509827,2018/06/20 10:50:27 CDT,start,100034,Mark,7475
1529509839,2018/06/20 10:50:39 CDT,start,100035,Sheila,4942
1529509840,2018/06/20 10:50:40 CDT,start,100036,Haley,3058
1529509836,2018/06/20 10:50:36 CDT,start,100037,Orla,4921
1529509835,2018/06/20 10:50:35 CDT,start,100038,Samuel,2883
1529509840,2018/06/20 10:50:40 CDT,start,100039,Kevyn,7120
1529509833,2018/06/20 10:50:33 CDT,start,100040,Holly,9176
1529509832,2018/06/20 10:50:32 CDT,start,100041,Keegan,3329
1529509835,2018/06/20 10:50:35 CDT,start,100042,Patricia,3785
1529509832,2018/06/20 10:50:32 CDT,start,100043,Raphael,2870
1529509825,2018/06/20 10:50:25 CDT,start,100044,Oliver,9857
1529509835,2018/06/20 10:50:35 CDT,start,100045,Renee,7012
1529509839,2018/06/20 10:50:39 CDT,start,100046,William,3628
1529509836,2018/06/20 10:50:36 CDT,start,100047,Giselle,4721
1529509838,2018/06/20 10:50:38 CDT,start,100048,Todd,4343
1529509834,2018/06/20 10:50:34 CDT,start,100049,Mark,4164
1529509831,2018/06/20 10:50:31 CDT,start,100050,Tobias,3444
1529509832,2018/06/20 10:50:32 CDT,start,100051,Montana,5876
1529509838,2018/06/20 10:50:38 CDT,start,100052,Avram,2659
1529509825,2018/06/20 10:50:25 CDT,start,100053,Ignatius,3757
1529509826,2018/06/20 10:50:26 CDT,start,100054,Holly,2402
1529509834,2018/06/20 10:50:34 CDT,start,100055,Fay,5951
1529509844,2018/06/20 10:50:44 CDT,start,100056,James,6392
1529509831,2018/06/20 10:50:31 CDT,start,100057,Talon,8978
1529509840,2018/06/20 10:50:40 CDT,start,100058,Merritt,5798
1529509843,2018/06/20 10:50:43 CDT,start,100059,Carissa,3904
1529509842,2018/06/20 10:50:42 CDT,start,100060,Eugenia,8114
1529509841,2018/06/20 10:50:41 CDT,start,100061,Silas,8998
1529509826,2018/06/20 10:50:26 CDT,start,100062,Leigh,7982
1529509833,2018/06/20 10:50:33 CDT,start,100063,Chase,9896
1529509839,2018/06/20 10:50:39 CDT,start,100064,Zachery,9018
1529509829,2018/06/20 10:50:29 CDT,start,100065,Mariko,6435
1529509832,2018/06/20 10:50:32 CDT,start,100066,Aristotle,2878
1529509838,2018/06/20 10:50:38 CDT,start,100067,Courtney,5763
1529509832,2018/06/20 10:50:32 CDT,start,100068,Reed,3302
1529509827,2018/06/20 10:50:27 CDT,start,100069,Adrian,8309
1529509844,2018/06/20 10:50:44 CDT,start,100070,Dane,7039
1529509825,2018/06/20 10:50:25 CDT,start,100071,Keaton,5796
1529509838,2018/06/20 10:50:38 CDT,start,100072,Jamalia,7880
1529509843,2018/06/20 10:50:43 CDT,start,100073,Fletcher,7687
1529509832,2018/06/20 10:50:32 CDT,start,100074,Cleo,9351
1529509833,2018/06/20 10:50:33 CDT,start,100075,Mariam,3718
1529509836,2018/06/20 10:50:36 CDT,start,100076,Kamal,8760
1529509841,2018/06/20 10:50:41 CDT,start,100077,Colton,7260
1529509834,2018/06/20 10:50:34 CDT,start,100078,Norman,9690
1529509839,2018/06/20 10:50:39 CDT,start,100079,Leroy,6280
1529509837,2018/06/20 10:50:37 CDT,start,100080,Damon,2147
1529509844,2018/06/20 10:50:44 CDT,start,100081,Nolan,9792
1529509833,2018/06/20 10:50:33 CDT,start,100082,Sloane,2829
1529509839,2018/06/20 10:50:39 CDT,start,100083,Nathan,4164
1529509840,2018/06/20 10:50:40 CDT,start,100084,Alyssa,9626
1529509837,2018/06/20 10:50:37 CDT,start,100085,Skyler,3432
1529509829,2018/06/20 10:50:29 CDT,start,100086,Chloe,9417
1529509837,2018/06/20 10:50:37 CDT,start,100087,Amos,5159
1529509839,2018/06/20 10:50:39 CDT,start,100088,Claudia,3700
1529509830,2018/06/20 10:50:30 CDT,start,100089,Cameran,3757
1529509843,2018/06/20 10:50:43 CDT,start,100090,Tiger,4690
1529509837,2018/06/20 10:50:37 CDT,start,100091,Ulysses,7839
1529509834,2018/06/20 10:50:34 CDT,start,100092,Vaughan,3076
1529509833,2018/06/20 10:50:33 CDT,start,100093,Ursula,2495
1529509843,2018/06/20 10:50:43 CDT,start,100094,Winifred,2113
