timestamp,orderLocation,orderTracking,customerID,IdType,iDCountry,customerIdNumberOld,customerIdNumber,orderType,category,service,productSKU,simCardSerialNM,p1Status,p1Message,p2Status,p2Message,p3Status,p3Message,p4Status,p4Message,transactionStatus
2019-01-03 0:05:44,store001,20190103-51614,SGNKDD8186849,passport,USA,919829166,6577778930,NEW,mobile,4G,4G001-7D,POAS7580913,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 0:09:23,store001,20190103-16721,SGTZDE5300025,passport,Japan,851304839,6577773764,NEW,mobile,4G,4G003-30D+P,JVEY7004719,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 0:15:30,affil001,20190103-45554,SGNPJF8589041,nationalid,Singapore,SGXZK7778176,6577774493,TOPUP,mobile,4G,DTU-5G300V,OTMT9964237,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 1:15:02,affil001,20190103-47631,SGMFVE7039921,nationalid,Singapore,SGFVI4168222,6577772954,TOPUP,mobile,4G,DTU-5G300V,XSHB3863302,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 1:33:22,affil001,20190103-38556,SGUJTA8986476,nationalid,Singapore,SGKRE6317057,6577773326,TOPUP,mobile,4G,DTU-5G300V,XYXQ7327189,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 1:57:52,affil001,20190103-30373,SGNURJ5252947,nationalid,Singapore,SGZCY9556179,6577775331,TOPUP,mobile,4G,4G002-30D,HMFJ1017074,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 2:15:12,affil001,20190103-43873,SGYRAE6109195,nationalid,Singapore,SGWOF9863522,6577774345,TOPUP,mobile,4G,DTU-5G300V,JAJY5666745,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 2:47:03,affil001,20190103-22098,SGGCBA8504376,nationalid,Singapore,SGNKX1575569,6577779983,TOPUP,mobile,4G,DTU-5G300V,YJLC3186192,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,OK,SUCCESS,SUCCESS
2019-01-03 3:01:33,affil001,20190103-65380,SGIVXF3904327,nationalid,Singapore,SGKBE5927911,6577777622,TOPUP,mobile,4G,DTU-5G300V,OYLD5980032,OK,SUCCESS,OK,SUCCESS,FAIL,ERROR-A303,OK,SUCCESS,FAIL
2019-01-03 3:03:51,affil001,20190103-35227,SGIVXF3904327,nationalid,Singapore,SGKBE5927911,6577777622,TOPUP,mobile,4G,DTU-5G300V,OYLD5980032,OK,SUCCESS,OK,SUCCESS,FAIL,ERROR-A303,OK,SUCCESS,FAIL
2019-01-03 3:05:28,affil001,20190103-14863,SGIVXF3904327,nationalid,Singapore,SGKBE5927911,6577777622,TOPUP,mobile,4G,DTU-5G300V,OYLD5980032,OK,SUCCESS,OK,SUCCESS,FAIL,ERROR-A303,OK,SUCCESS,FAIL
2019-01-03 3:10:32,affil001,20190103-26856,SGIVXF3904327,nationalid,Singapore,SGKBE5927911,6577777622,TOPUP,mobile,4G,DTU-5G300V,OYLD5980032,OK,SUCCESS,OK,SUCCESS,FAIL,ERROR-A303,OK,SUCCESS,FAIL
