UTC,_time,action,sessionID,customer,location,ResponseTime
1529607352,2018/06/21 13:55:52 CDT,authorized,10286,Nyssa,NJ,2
1529607576,2018/06/21 13:59:36 CDT,authorized,10287,Skyler,CA,1
1529603650,2018/06/21 12:54:10 CDT,authorized,10288,Joseph,TX,1
1529597575,2018/06/21 11:12:55 CDT,authorized,10289,Fredericka,NJ,8
1529608559,2018/06/21 14:15:59 CDT,authorized,10290,Cairo,TX,2
1529603707,2018/06/21 12:55:07 CDT,authorized,10291,Dorian,TX,2
1529605816,2018/06/21 13:30:16 CDT,authorized,10292,Amelia,TX,2
1529599130,2018/06/21 11:38:50 CDT,authorized,10293,Beck,NJ,1
1529605211,2018/06/21 13:20:11 CDT,authorized,10294,Wallace,TX,1
1529597802,2018/06/21 11:16:42 CDT,authorized,10295,Jolene,TX,1
1529608464,2018/06/21 14:14:24 CDT,authorized,10296,Walter,TX,2
1529608963,2018/06/21 14:22:43 CDT,authorized,10297,Hyatt,TX,2
1529597711,2018/06/21 11:15:11 CDT,authorized,10298,Chaney,NJ,1
1529603387,2018/06/21 12:49:47 CDT,authorized,10299,Fredericka,CA,2
1529601749,2018/06/21 12:22:29 CDT,authorized,10300,Regina,CA,2
1529606147,2018/06/21 13:35:47 CDT,authorized,10301,Raphael,NJ,2
1529608230,2018/06/21 14:10:30 CDT,authorized,10302,Tate,CA,5
1529604782,2018/06/21 13:13:02 CDT,authorized,10303,Brody,TX,2
1529600922,2018/06/21 12:08:42 CDT,authorized,10304,Dai,TX,1
1529596297,2018/06/21 10:51:37 CDT,authorized,10305,Rina,NJ,1
1529607228,2018/06/21 13:53:48 CDT,authorized,10306,Hashim,NJ,1
1529606075,2018/06/21 13:34:35 CDT,authorized,10307,Knox,NJ,2
1529606293,2018/06/21 13:38:13 CDT,authorized,10308,Cullen,CA,1
1529606347,2018/06/21 13:39:07 CDT,authorized,10309,Berk,NJ,8
1529599631,2018/06/21 11:47:11 CDT,authorized,10310,Gavin,TX,2
1529608415,2018/06/21 14:13:35 CDT,authorized,10311,Daryl,NJ,1
1529604436,2018/06/21 13:07:16 CDT,authorized,10312,Bertha,TX,2
1529598866,2018/06/21 11:34:26 CDT,authorized,10313,Ciaran,NJ,1
1529606685,2018/06/21 13:44:45 CDT,authorized,10314,Raymond,NJ,1
1529597556,2018/06/21 11:12:36 CDT,authorized,10315,Ashton,CA,1
1529601721,2018/06/21 12:22:01 CDT,authorized,10316,Chiquita,NJ,1
1529606513,2018/06/21 13:41:53 CDT,authorized,10317,Iola,TX,2
1529609505,2018/06/21 14:31:45 CDT,authorized,10318,Rina,CA,2
1529605763,2018/06/21 13:29:23 CDT,authorized,10319,Mark,CA,2
1529597446,2018/06/21 11:10:46 CDT,authorized,10320,Noah,NJ,1
1529607060,2018/06/21 13:51:00 CDT,authorized,10321,Ann,NJ,1
1529597415,2018/06/21 11:10:15 CDT,authorized,10322,Amy,NJ,2
1529597865,2018/06/21 11:17:45 CDT,authorized,10323,Caldwell,TX,1
1529605847,2018/06/21 13:30:47 CDT,authorized,10324,Rinah,NJ,2
1529599987,2018/06/21 11:53:07 CDT,authorized,10325,Calista,NJ,2
1529597523,2018/06/21 11:12:03 CDT,authorized,10326,Ignatius,CA,1
1529602809,2018/06/21 12:40:09 CDT,authorized,10327,Norman,TX,1
1529601378,2018/06/21 12:16:18 CDT,authorized,10328,Julie,TX,2
1529601754,2018/06/21 12:22:34 CDT,authorized,10329,Uriel,NJ,1
1529600682,2018/06/21 12:04:42 CDT,authorized,10330,Ursa,TX,2
1529602638,2018/06/21 12:37:18 CDT,authorized,10331,Stacy,TX,1
1529608737,2018/06/21 14:18:57 CDT,authorized,10332,Dominic,CA,1
1529597073,2018/06/21 11:04:33 CDT,error,10333,Regina,NJ,1
