epoch,_time,customer,new_limit,accountID
1532414362,2018/07/24 02:39:22 EDT,Abbot,9402,100000
1532448743,2018/07/24 12:12:23 EDT,Abdul,5506,100001
1532482401,2018/07/24 21:33:21 EDT,Abraham,10249,100002
1532470108,2018/07/24 18:08:28 EDT,Adena,8719,100003
1532468406,2018/07/24 17:40:06 EDT,Adrian,5783,100004
1532422671,2018/07/24 04:57:51 EDT,Alden,10439,100005
1532478236,2018/07/24 20:23:56 EDT,Alfonso,7448,100006
1532430080,2018/07/24 07:01:20 EDT,Amaya,8448,100007
1532482596,2018/07/24 21:36:36 EDT,Amela,6626,100008
1532490280,2018/07/24 23:44:40 EDT,Amethyst,5527,100009
1532463890,2018/07/24 16:24:50 EDT,Amy,11401,100010
1532431829,2018/07/24 07:30:29 EDT,Aquila,9881,100011
1532412148,2018/07/24 02:02:28 EDT,Aristotle,5876,100012
1532466176,2018/07/24 17:02:56 EDT,Arthur,6780,100013
1532456246,2018/07/24 14:17:26 EDT,Audra,8611,100014
1532420120,2018/07/24 04:15:20 EDT,Avye,10693,100015
1532427234,2018/07/24 06:13:54 EDT,Barclay,5386,100016
1532469591,2018/07/24 17:59:51 EDT,Baxter,9770,100017
1532410932,2018/07/24 01:42:12 EDT,Benedict,5266,100018
1532470796,2018/07/24 18:19:56 EDT,Blossom,5656,100019
1532477924,2018/07/24 20:18:44 EDT,Bradley,8843,100020
1532481364,2018/07/24 21:16:04 EDT,Bree,9718,100021
1532477546,2018/07/24 20:12:26 EDT,Brendan,9276,100022
1532478994,2018/07/24 20:36:34 EDT,Brock,8242,100023
1532452777,2018/07/24 13:19:37 EDT,Brody,10483,100024
1532484619,2018/07/24 22:10:19 EDT,Bruno,7586,100025
1532474684,2018/07/24 19:24:44 EDT,Buckminster,6508,100026
1532469462,2018/07/24 17:57:42 EDT,Buffy,9297,100027
1532455755,2018/07/24 14:09:15 EDT,Cadman,8896,100028
1532405576,2018/07/24 00:12:56 EDT,Caesar,6980,100029
1532441728,2018/07/24 10:15:28 EDT,Callum,8937,100030
1532452791,2018/07/24 13:19:51 EDT,Camden,8425,100031
1532441060,2018/07/24 10:04:20 EDT,Camille,11239,100032
1532405791,2018/07/24 00:16:31 EDT,Candice,9982,100033
1532415680,2018/07/24 03:01:20 EDT,Carl,10981,100034
1532443435,2018/07/24 10:43:55 EDT,Carlos,10238,100035
1532448840,2018/07/24 12:14:00 EDT,Cedric,11477,100036
1532430394,2018/07/24 07:06:34 EDT,Charles,5665,100037
1532429582,2018/07/24 06:53:02 EDT,Chase,11548,100038
1532484790,2018/07/24 22:13:10 EDT,Chester,6516,100039
1532460504,2018/07/24 15:28:24 EDT,Christian,5236,100040
1532478393,2018/07/24 20:26:33 EDT,Colby,6876,100041
1532434618,2018/07/24 08:16:58 EDT,Colin,5172,100042
1532426029,2018/07/24 05:53:49 EDT,Colleen,8806,100043
1532408467,2018/07/24 01:01:07 EDT,Connor,11147,100044
1532478517,2018/07/24 20:28:37 EDT,Courtney,11602,100045
1532433785,2018/07/24 08:03:05 EDT,Craig,10423,100046
1532486502,2018/07/24 22:41:42 EDT,Cyrus,11290,100047
1532419787,2018/07/24 04:09:47 EDT,Dacey,8224,100048
1532466091,2018/07/24 17:01:31 EDT,Dalton,6484,100049
1532409158,2018/07/24 01:12:38 EDT,Damon,8288,100050
1532417433,2018/07/24 03:30:33 EDT,Dante,7406,100051
1532479478,2018/07/24 20:44:38 EDT,Daquan,10340,100052
1532444064,2018/07/24 10:54:24 EDT,Daryl,10770,100053
1532466062,2018/07/24 17:01:02 EDT,Davis,10778,100054
1532481426,2018/07/24 21:17:06 EDT,Dean,9054,100055
1532409712,2018/07/24 01:21:52 EDT,Debra,8275,100056
1532463301,2018/07/24 16:15:01 EDT,Demetria,8766,100057
1532440932,2018/07/24 10:02:12 EDT,Dennis,5785,100058
1532467261,2018/07/24 17:21:01 EDT,Donna,8278,100059
1532413320,2018/07/24 02:22:00 EDT,Donovan,9297,100060
1532443903,2018/07/24 10:51:43 EDT,Dorian,11080,100061
1532490002,2018/07/24 23:40:02 EDT,Doris,10087,100062
1532475577,2018/07/24 19:39:37 EDT,Drew,5893,100063
1532406420,2018/07/24 00:27:00 EDT,Dylan,8775,100064
1532480581,2018/07/24 21:03:01 EDT,Eagan,10223,100065
1532489377,2018/07/24 23:29:37 EDT,Eaton,8551,100066
1532413555,2018/07/24 02:25:55 EDT,Eden,11029,100067
1532433779,2018/07/24 08:02:59 EDT,Elijah,7397,100068
1532416740,2018/07/24 03:19:00 EDT,Ella,9179,100069
1532478352,2018/07/24 20:25:52 EDT,Emerson,8263,100070
1532423573,2018/07/24 05:12:53 EDT,Emery,11016,100071
1532449059,2018/07/24 12:17:39 EDT,Emily,8811,100072
1532439029,2018/07/24 09:30:29 EDT,Emma,6777,100073
1532485071,2018/07/24 22:17:51 EDT,Erin,5165,100074
1532406809,2018/07/24 00:33:29 EDT,Evan,9621,100075
1532462887,2018/07/24 16:08:07 EDT,Fallon,11671,100076
1532489683,2018/07/24 23:34:43 EDT,Fay,7230,100077
1532449077,2018/07/24 12:17:57 EDT,Flavia,8296,100078
1532465974,2018/07/24 16:59:34 EDT,Francesca,6739,100079
1532455374,2018/07/24 14:02:54 EDT,Fuller,10575,100080
1532427802,2018/07/24 06:23:22 EDT,Gage,10321,100081
1532484755,2018/07/24 22:12:35 EDT,Gareth,11457,100082
1532458032,2018/07/24 14:47:12 EDT,Garrett,8019,100083
1532405090,2018/07/24 00:04:50 EDT,Garth,8344,100084
1532420779,2018/07/24 04:26:19 EDT,Geoffrey,7287,100085
1532467590,2018/07/24 17:26:30 EDT,George,9438,100086
1532406424,2018/07/24 00:27:04 EDT,Ginger,9319,100087
1532451220,2018/07/24 12:53:40 EDT,Giselle,10550,100088
1532479160,2018/07/24 20:39:20 EDT,Harrison,7422,100089
1532462212,2018/07/24 15:56:52 EDT,Hashim,10316,100090
1532486166,2018/07/24 22:36:06 EDT,Hayes,7833,100091
1532463226,2018/07/24 16:13:46 EDT,Hayley,8361,100092
1532413500,2018/07/24 02:25:00 EDT,Hedda,8738,100093
1532456990,2018/07/24 14:29:50 EDT,Hedy,11585,100094
1532452411,2018/07/24 13:13:31 EDT,Heidi,9971,100095
1532476230,2018/07/24 19:50:30 EDT,Hyacinth,7332,100096
1532420491,2018/07/24 04:21:31 EDT,Ian,5759,100097
1532462840,2018/07/24 16:07:20 EDT,Idola,6514,100098
1532441767,2018/07/24 10:16:07 EDT,Ignatius,9811,100099
1532433895,2018/07/24 08:04:55 EDT,Ila,6013,100100
1532480944,2018/07/24 21:09:04 EDT,Illiana,6510,100101
1532428958,2018/07/24 06:42:38 EDT,Ima,11374,100102
1532477951,2018/07/24 20:19:11 EDT,India,7058,100103
1532430870,2018/07/24 07:14:30 EDT,Indira,10265,100104
1532476686,2018/07/24 19:58:06 EDT,Ira,11011,100105
1532483964,2018/07/24 21:59:24 EDT,Irene,8363,100106
1532446881,2018/07/24 11:41:21 EDT,Ishmael,7284,100107
1532434734,2018/07/24 08:18:54 EDT,Ivy,11833,100108
1532436042,2018/07/24 08:40:42 EDT,Jack,8938,100109
1532480880,2018/07/24 21:08:00 EDT,Jackson,5912,100110
1532436479,2018/07/24 08:47:59 EDT,Jada,5085,100111
1532472228,2018/07/24 18:43:48 EDT,Jaime,7143,100112
1532430225,2018/07/24 07:03:45 EDT,Jane,9872,100113
1532439527,2018/07/24 09:38:47 EDT,Jaquelyn,11734,100114
1532423186,2018/07/24 05:06:26 EDT,Jasper,8542,100115
1532453352,2018/07/24 13:29:12 EDT,Jayme,8874,100116
1532467593,2018/07/24 17:26:33 EDT,Jelani,8956,100117
1532466821,2018/07/24 17:13:41 EDT,Jennifer,6556,100118
1532453139,2018/07/24 13:25:39 EDT,Jermaine,6165,100119
1532473212,2018/07/24 19:00:12 EDT,Jocelyn,10029,100120
1532476187,2018/07/24 19:49:47 EDT,Joel,10330,100121
1532421214,2018/07/24 04:33:34 EDT,John,9339,100122
1532437024,2018/07/24 08:57:04 EDT,Jordan,8736,100123
1532454453,2018/07/24 13:47:33 EDT,Joy,9563,100124
1532423021,2018/07/24 05:03:41 EDT,Judith,10580,100125
1532432370,2018/07/24 07:39:30 EDT,Kai,5558,100126
1532421201,2018/07/24 04:33:21 EDT,Karen,6014,100127
1532432577,2018/07/24 07:42:57 EDT,Karly,10249,100128
1532430059,2018/07/24 07:00:59 EDT,Kaseem,6480,100129
1532488641,2018/07/24 23:17:21 EDT,Kasimir,5586,100130
1532407846,2018/07/24 00:50:46 EDT,Kato,5576,100131
1532425289,2018/07/24 05:41:29 EDT,Keaton,7831,100132
1532466198,2018/07/24 17:03:18 EDT,Keith,7448,100133
1532427365,2018/07/24 06:16:05 EDT,Kelsey,8268,100134
1532435742,2018/07/24 08:35:42 EDT,Kelsie,5265,100135
1532425457,2018/07/24 05:44:17 EDT,Kenneth,10665,100136
1532475948,2018/07/24 19:45:48 EDT,Kenyon,8996,100137
1532456843,2018/07/24 14:27:23 EDT,Kermit,10259,100138
1532424421,2018/07/24 05:27:01 EDT,Kevin,11619,100139
1532443646,2018/07/24 10:47:26 EDT,Kibo,8389,100140
1532458423,2018/07/24 14:53:43 EDT,Kirsten,9374,100141
1532443713,2018/07/24 10:48:33 EDT,Kitra,5964,100142
1532445691,2018/07/24 11:21:31 EDT,Knox,7482,100143
1532460500,2018/07/24 15:28:20 EDT,Kuame,10526,100144
1532478763,2018/07/24 20:32:43 EDT,Kylee,8585,100145
1532471775,2018/07/24 18:36:15 EDT,Lael,5181,100146
1532482084,2018/07/24 21:28:04 EDT,Lane,8288,100147
1532466202,2018/07/24 17:03:22 EDT,Lev,6871,100148
1532456222,2018/07/24 14:17:02 EDT,Libby,5757,100149
1532483617,2018/07/24 21:53:37 EDT,Lila,8178,100150
1532480767,2018/07/24 21:06:07 EDT,Linda,6158,100151
1532487645,2018/07/24 23:00:45 EDT,Lucius,10254,100152
1532404909,2018/07/24 00:01:49 EDT,Luke,6229,100153
1532418847,2018/07/24 03:54:07 EDT,Macaulay,5947,100154
1532444686,2018/07/24 11:04:46 EDT,Madeline,6283,100155
